bls_series_id,bls_item_code,bls_item_name,area_code,area_name,year,period,date,price_usd,grams_per_priced_unit,edible_fraction,edible_grams_per_priced_unit,price_per_100g_usd,fdc_id,fdc_description,protein_g_per_100g,fiber_g_per_100g,protein_g_per_dollar,fiber_g_per_dollar,value_source
APU0400703112,703112,"Ground beef, 100% beef, per lb. (453.6 gm)",0400,West,2026,M06,2026-06-01,7.110,453.6,1,453.6,1.5675,174036,"Beef, ground, 80% lean meat / 20% fat, raw",17.17,0,10.95,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0000703113,703113,"Ground beef, lean and extra lean, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,8.651,453.6,1,453.6,1.9072,173110,"Beef, ground, 93% lean meat / 7% fat, raw",20.85,0,10.93,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0300703113,703113,"Ground beef, lean and extra lean, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,8.566,453.6,1,453.6,1.8884,173110,"Beef, ground, 93% lean meat / 7% fat, raw",20.85,0,11.04,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0400703113,703113,"Ground beef, lean and extra lean, per lb. (453.6 gm)",0400,West,2023,M04,2023-04-01,6.511,453.6,1,453.6,1.4354,173110,"Beef, ground, 93% lean meat / 7% fat, raw",20.85,0,14.53,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0000703213,703213,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,9.550,453.6,1,453.6,2.1054,168661,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, choice, raw",19.1,0,9.07,0.00,portal-data (3 sig figs)
APU0100703213,703213,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)",0100,Northeast,2026,M06,2026-06-01,9.044,453.6,1,453.6,1.9938,168661,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, choice, raw",19.1,0,9.58,0.00,portal-data (3 sig figs)
APU0200703213,703213,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)",0200,Midwest,2026,M06,2026-06-01,9.530,453.6,1,453.6,2.1010,168661,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, choice, raw",19.1,0,9.09,0.00,portal-data (3 sig figs)
APU0300703213,703213,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,9.380,453.6,1,453.6,2.0679,168661,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, choice, raw",19.1,0,9.24,0.00,portal-data (3 sig figs)
APU0400703213,703213,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)",0400,West,2026,M06,2026-06-01,10.262,453.6,1,453.6,2.2623,168661,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, choice, raw",19.1,0,8.44,0.00,portal-data (3 sig figs)
APU0000703311,703311,"Round roast, USDA Choice, boneless, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,8.962,453.6,1,453.6,1.9757,173983,"Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",23.5,0,11.89,0.00,portal-data (3 sig figs)
APU0100703311,703311,"Round roast, USDA Choice, boneless, per lb. (453.6 gm)",0100,Northeast,2025,M09,2025-09-01,8.110,453.6,1,453.6,1.7879,173983,"Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",23.5,0,13.14,0.00,portal-data (3 sig figs)
APU0200703311,703311,"Round roast, USDA Choice, boneless, per lb. (453.6 gm)",0200,Midwest,2026,M06,2026-06-01,8.997,453.6,1,453.6,1.9835,173983,"Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",23.5,0,11.85,0.00,portal-data (3 sig figs)
APU0300703311,703311,"Round roast, USDA Choice, boneless, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,9.300,453.6,1,453.6,2.0503,173983,"Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",23.5,0,11.46,0.00,portal-data (3 sig figs)
APU0400703311,703311,"Round roast, USDA Choice, boneless, per lb. (453.6 gm)",0400,West,2025,M04,2025-04-01,8.108,453.6,1,453.6,1.7875,173983,"Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",23.5,0,13.15,0.00,portal-data (3 sig figs)
APU0000703432,703432,"Beef for stew, boneless, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,9.304,453.6,1,453.6,2.0511,170810,"Beef, chuck for stew, separable lean and fat, choice, raw",21.6,0,10.53,0.00,portal-data (3 sig figs)
APU0200703432,703432,"Beef for stew, boneless, per lb. (453.6 gm)",0200,Midwest,2024,M04,2024-04-01,7.427,453.6,1,453.6,1.6373,170810,"Beef, chuck for stew, separable lean and fat, choice, raw",21.6,0,13.19,0.00,portal-data (3 sig figs)
APU0300703432,703432,"Beef for stew, boneless, per lb. (453.6 gm)",0300,South,2026,M05,2026-05-01,8.628,453.6,1,453.6,1.9021,170810,"Beef, chuck for stew, separable lean and fat, choice, raw",21.6,0,11.36,0.00,portal-data (3 sig figs)
APU0400703432,703432,"Beef for stew, boneless, per lb. (453.6 gm)",0400,West,2024,M05,2024-05-01,7.481,453.6,1,453.6,1.6493,170810,"Beef, chuck for stew, separable lean and fat, choice, raw",21.6,0,13.10,0.00,portal-data (3 sig figs)
APU0000703511,703511,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,9.844,453.6,1,453.6,2.1702,173980,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",23.5,0,10.83,0.00,portal-data (3 sig figs)
APU0100703511,703511,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm)",0100,Northeast,2024,M05,2024-05-01,8.521,453.6,1,453.6,1.8785,173980,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",23.5,0,12.51,0.00,portal-data (3 sig figs)
APU0200703511,703511,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm)",0200,Midwest,2022,M05,2022-05-01,7.090,453.6,1,453.6,1.5631,173980,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",23.5,0,15.03,0.00,portal-data (3 sig figs)
APU0300703511,703511,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,9.867,453.6,1,453.6,2.1753,173980,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",23.5,0,10.80,0.00,portal-data (3 sig figs)
APU0400703511,703511,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm)",0400,West,2024,M04,2024-04-01,8.740,453.6,1,453.6,1.9268,173980,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",23.5,0,12.20,0.00,portal-data (3 sig figs)
APU0000703613,703613,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,14.451,453.6,1,453.6,3.1858,168728,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",19.9,0,6.25,0.00,portal-data (3 sig figs)
