bls_series_id,bls_item_code,bls_item_name,area_code,area_name,year,period,date,price_usd,grams_per_priced_unit,edible_fraction,edible_grams_per_priced_unit,price_per_100g_usd,fdc_id,fdc_description,protein_g_per_100g,fiber_g_per_100g,protein_g_per_dollar,fiber_g_per_dollar,value_source
APU0000701111,701111,"Flour, white, all purpose, per lb. (453.6 gm)",0000,U.S. city average,2026,M07,2026-07-01,0.543,453.6,1,453.6,0.1197,168894,"Wheat flour, white, all-purpose, enriched, bleached (SR Legacy, NDB 20081)",10.3,2.7,86.04,22.55,portal-data (3 sig figs)
APU0200701111,701111,"Flour, white, all purpose, per lb. (453.6 gm)",0200,Midwest,2019,M10,2019-10-01,0.379,453.6,1,453.6,0.0836,168894,"Wheat flour, white, all-purpose, enriched, bleached (SR Legacy, NDB 20081)",10.3,2.7,123.27,32.31,portal-data (3 sig figs)
APU0300701111,701111,"Flour, white, all purpose, per lb. (453.6 gm)",0300,South,2026,M07,2026-07-01,0.489,453.6,1,453.6,0.1078,168894,"Wheat flour, white, all-purpose, enriched, bleached (SR Legacy, NDB 20081)",10.3,2.7,95.54,25.05,portal-data (3 sig figs)
APU0400701111,701111,"Flour, white, all purpose, per lb. (453.6 gm)",0400,West,2022,M05,2022-05-01,0.653,453.6,1,453.6,0.1440,168894,"Wheat flour, white, all-purpose, enriched, bleached (SR Legacy, NDB 20081)",10.3,2.7,71.55,18.76,portal-data (3 sig figs)
APU0000701312,701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",0000,U.S. city average,2026,M07,2026-07-01,1.100,453.6,1,453.6,0.2425,168877,"Rice, white, long-grain, regular, raw, enriched (SR Legacy, NDB 20044)",7.13,1.3,29.40,5.36,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0200701312,701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",0200,Midwest,2024,M10,2024-10-01,0.927,453.6,1,453.6,0.2044,168877,"Rice, white, long-grain, regular, raw, enriched (SR Legacy, NDB 20044)",7.13,1.3,34.89,6.36,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0300701312,701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",0300,South,2026,M07,2026-07-01,1.218,453.6,1,453.6,0.2685,168877,"Rice, white, long-grain, regular, raw, enriched (SR Legacy, NDB 20044)",7.13,1.3,26.55,4.84,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0400701312,701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",0400,West,2025,M04,2025-04-01,0.879,453.6,1,453.6,0.1938,168877,"Rice, white, long-grain, regular, raw, enriched (SR Legacy, NDB 20044)",7.13,1.3,36.79,6.71,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0000701322,701322,"Spaghetti and macaroni, per lb. (453.6 gm)",0000,U.S. city average,2026,M07,2026-07-01,1.381,453.6,1,453.6,0.3045,169736,"Pasta, dry, enriched (SR Legacy, NDB 20120)",13.04,3.2,42.83,10.51,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0100701322,701322,"Spaghetti and macaroni, per lb. (453.6 gm)",0100,Northeast,2024,M04,2024-04-01,1.823,453.6,1,453.6,0.4019,169736,"Pasta, dry, enriched (SR Legacy, NDB 20120)",13.04,3.2,32.45,7.96,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0200701322,701322,"Spaghetti and macaroni, per lb. (453.6 gm)",0200,Midwest,2022,M09,2022-09-01,1.533,453.6,1,453.6,0.3380,169736,"Pasta, dry, enriched (SR Legacy, NDB 20120)",13.04,3.2,38.58,9.47,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0300701322,701322,"Spaghetti and macaroni, per lb. (453.6 gm)",0300,South,2026,M07,2026-07-01,1.280,453.6,1,453.6,0.2822,169736,"Pasta, dry, enriched (SR Legacy, NDB 20120)",13.04,3.2,46.21,11.34,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0400701322,701322,"Spaghetti and macaroni, per lb. (453.6 gm)",0400,West,2025,M04,2025-04-01,1.623,453.6,1,453.6,0.3578,169736,"Pasta, dry, enriched (SR Legacy, NDB 20120)",13.04,3.2,36.44,8.94,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0000703112,703112,"Ground beef, 100% beef, per lb. (453.6 gm)",0000,U.S. city average,2026,M07,2026-07-01,6.885,453.6,1,453.6,1.5179,174036,"Beef, ground, 80% lean meat / 20% fat, raw",17.17,0,11.31,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0100703112,703112,"Ground beef, 100% beef, per lb. (453.6 gm)",0100,Northeast,2026,M07,2026-07-01,6.896,453.6,1,453.6,1.5203,174036,"Beef, ground, 80% lean meat / 20% fat, raw",17.17,0,11.29,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0200703112,703112,"Ground beef, 100% beef, per lb. (453.6 gm)",0200,Midwest,2026,M07,2026-07-01,6.766,453.6,1,453.6,1.4916,174036,"Beef, ground, 80% lean meat / 20% fat, raw",17.17,0,11.51,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
