food,category,value,package,package_price_usd,price_basis
Eggs (large),Eggs & dairy,34.4,1 dozen (600 g edible),2.19,BLS US avg May 2026 (APU0000708111)
Mozzarella (low-moisture part-skim),Eggs & dairy,30.1,16 oz block,3.58,Walmart GV Jul 2026
Whole milk,Eggs & dairy,29.1,1 gallon,4.22,BLS US avg May 2026 (APU0000709112)
"Greek yogurt (plain, nonfat)",Eggs & dairy,27.5,32 oz tub,3.36,Walmart GV Jul 2026
Cottage cheese (4%),Eggs & dairy,26.3,24 oz tub,2.87,Walmart GV Jul 2026
Cheddar cheese,Eggs & dairy,18.2,per lb,5.69,BLS US avg May 2026 (APU0000710212)
